Sales Org,Sold To Part,Sales Doc
7240,S0075NC74T,3300540433
7240,S0074YRX8P,3300630484
0131,S038339930,3300646839
,,3300652132
,,3300652133
,,3300655382
,,3300655888
,,3300655916
,,3300656202
,,3300656807
,,3300656879
,,3300657358
,,3300657813
,,3300657839
,,3300658126
,,3300658152
,,3300658204
,,3300658217
,,3300658237
,,3300658388
,,3300658395
,,3300658397
,,3300658716
,,3300658887
,,3300659115
,,3300659155
,,3300540433
,,3300630484
,,3300646839
,,3300652132
,,3300652133
,,3300655382
,,3300655888
,,3300655916
,,3300656202
,,3300656807
,,3300656879
,,3300657358
,,3300657813
,,3300657839
,,3300658126
,,3300658152
,,3300658204
,,3300658217
,,3300658237
,,3300658388
,,3300658395
,,3300658397
,,3300658716
,,3300658887
,,3300659115
,,3300659155
,,3300540433
,,3300630484
,,3300646839
,,3300652132
,,3300652133
,,3300655382
,,3300655888
,,3300655916
,,3300656202
,,3300656807
,,3300656879
,,3300657358
,,3300657813
,,3300657839
,,3300658126
,,3300658152
,,3300658204
,,3300658217
,,3300658237
,,3300658388
,,3300658395
,,3300658397
,,3300658716
,,3300658887
,,3300659115
,,3300659155
,,3300540433
,,3300630484
,,3300646839
,,3300652132
,,3300652133
,,3300655382
,,3300655888
,,3300655916
,,3300656202
,,3300656807
,,3300656879
,,3300657358
,,3300657813
,,3300657839
,,3300658126
,,3300658152
,,3300658204
,,3300658217
,,3300658237
,,3300658388
,,3300658395
,,3300658397
,,3300658716
,,3300658887
,,3300659115
,,3300659155
,,3300540433
,,3300630484
,,3300646839
,,3300652132
,,3300652133
,,3300655382
,,3300655888
,,3300655916
,,3300656202
,,3300656807
,,3300656879
,,3300657358
,,3300657813
,,3300657839
,,3300658126
,,3300658152
,,3300658204
,,3300658217
,,3300658237
,,3300658388
,,3300658395
,,3300658397
,,3300658716
,,3300658887
,,3300659115
,,3300659155
,,3300540433
,,3300630484
,,3300646839
,,3300652132
,,3300652133
,,3300655382
,,3300655888
,,3300655916
,,3300656202
,,3300656807
,,3300656879
,,3300657358
,,3300657813
,,3300657839
,,3300658126
,,3300658152
,,3300658204
,,3300658217
,,3300658237
,,3300658388
,,3300658395
,,3300658397
,,3300658716
,,3300658887
,,3300659115
,,3300659155
,,3300540433
,,3300630484
,,3300646839
,,3300652132
,,3300652133
,,3300655382
,,3300655888
,,3300655916
,,3300656202
,,3300656807
,,3300656879
,,3300657358
,,3300657813
,,3300657839
,,3300658126
,,3300658152
,,3300658204
,,3300658217
,,3300658237
,,3300658388
,,3300658395
,,3300658397
,,3300658716
,,3300658887
,,3300659115
,,3300659155
,,3300540433
,,3300630484
,,3300646839
,,3300652132
,,3300652133
,,3300655382
,,3300655888
,,3300655916
,,3300656202
,,3300656807
,,3300656879
,,3300657358
,,3300657813
,,3300657839
,,3300658126
,,3300658152
,,3300658204
,,3300658217
,,3300658237
,,3300658388
,,3300658395
,,3300658397
,,3300658716
,,3300658887
,,3300659115
,,3300659155
,,3300540433
,,3300630484
,,3300646839
,,3300652132
,,3300652133
,,3300655382
,,3300655888
,,3300655916
,,3300656202
,,3300656807
,,3300656879
,,3300657358
,,3300657813
,,3300657839
,,3300658126
,,3300658152
,,3300658204
,,3300658217
,,3300658237
,,3300658388
,,3300658395
,,3300658397
,,3300658716
,,3300658887
,,3300659115
,,3300659155
